,index_x,completed_at,created_at,destination_address,destination_latitude,destination_longitude,duration,origin_address,origin_latitude,origin_longitude,origin_timestamp,ride_id,wait_time,date,month,day_of_week,orig_hour,orig_min,tot_orig_min,orig_sec,dropoff_hour,dropoff_min,drop_sec,pending_time,pickup_lat,pickup_long,pickup_time,dropoff_lat,dropoff_long,dropoff_time,cancel_time,noshow_time,noshow_trip,pickup_hour,pickup_min,pickup_sec,driver,vehicle,completed_trip,orig_lat_round_str,orig_lng_round_str,dest_lat_round_str,dest_lng_round_str,stringOrigCoords,stringDestCoords,origin_address_geocode,destination_address_geocode,USE_orig_lat,USE_orig_long,USE_dest_lat,USE_dest_long,old_origin_poi,origin_poi,old_destination_poi,destination_poi,pending_sec,od_pair,timePeriod1
4319,4319,2019-07-15 18:48:22-04:00,2019-07-15 18:47:38-04:00,IKEA,40.452779,-80.16833000000003,44.0,no address provided,40.44798314,-80.17566451,2019-07-15 18:47:39-04:00,4715717,0.0,2019-07-15,7,Monday,18,47,1127,67659,18,48,67702,2019-07-15 18:47:38-04:00,40.44798314,-80.17566451,2019-07-15 18:47:38-04:00,40.44905259,-80.17619971,2019-07-15 18:48:22-04:00,,,0,18.0,47.0,67658.0,actadriver1,2008,1,40.448,-80.1757,40.4528,-80.1683,"40.4477, -80.1761","40.4522, -80.1676","250 Summit Park Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4477,-80.1761,40.4522,-80.1676,20,20,3.0,3,67658,"20, 3",18:45:00
4511,4511,2019-07-15 19:40:52-04:00,2019-07-15 19:30:53-04:00,IKEA,40.452779,-80.16833000000003,243.0,"121 Costco Dr, Pittsburgh, PA 15205, USA",40.45790603,-80.16790353,2019-07-15 19:30:53-04:00,4716051,356.0,2019-07-15,7,Monday,19,30,1170,70253,19,40,70852,2019-07-15 19:30:53-04:00,40.45764488,-80.16780999,2019-07-15 19:36:49-04:00,40.4530218,-80.16808106,2019-07-15 19:40:52-04:00,,,0,19.0,36.0,70609.0,actadriver1,2008,1,40.4579,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,70253,"21, 3",19:30:00
4520,4520,2019-07-15 22:07:34-04:00,2019-07-15 21:35:10-04:00,"IKEA Park Manor Boulevard, Pittsburgh, PA, USA",40.452779,-80.16833000000003,321.0,"121 Costco Dr, Pittsburgh, PA  15205, United States",40.45779582,-80.16785759,2019-07-15 22:12:54-04:00,4716893,0.0,2019-07-15,7,Monday,22,12,1332,79974,22,7,79654,2019-07-15 21:35:10-04:00,40.45767304,-80.16779641,2019-07-15 22:02:13-04:00,40.45297079,-80.16808617,2019-07-15 22:07:34-04:00,,,0,22.0,2.0,79333.0,actadriver1,2008,1,40.4578,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,77710,"21, 3",22:00:00
4522,4522,2019-07-15 22:07:34-04:00,2019-07-15 21:35:54-04:00,IKEA,40.452779,-80.16833000000003,321.0,"121 Costco Dr, Pittsburgh, PA  15205, United States",40.45788434,-80.16793571,2019-07-15 22:00:00-04:00,4716897,133.0,2019-07-15,7,Monday,22,0,1320,79200,22,7,79654,2019-07-15 21:35:54-04:00,40.45767304,-80.16779641,2019-07-15 22:02:13-04:00,40.45297079,-80.16808617,2019-07-15 22:07:34-04:00,,,0,22.0,2.0,79333.0,actadriver1,2008,1,40.4579,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,77754,"21, 3",22:00:00
4535,4535,2019-07-15 15:50:33-04:00,2019-07-15 15:34:20-04:00,IKEA,40.452779,-80.16833000000003,264.0,"Taco Bell Costco Drive, Pittsburgh, PA, USA",40.457906,-80.16790340000001,2019-07-15 15:34:20-04:00,4714521,709.0,2019-07-15,7,Monday,15,34,934,56060,15,50,57033,2019-07-15 15:34:20-04:00,40.45763503,-80.16774134,2019-07-15 15:46:09-04:00,40.45734895,-80.1794377,2019-07-15 15:50:33-04:00,,,0,15.0,46.0,56769.0,actadriver3,2064,1,40.4579,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,56060,"21, 3",15:30:00
4542,4542,2019-07-15 14:14:02-04:00,2019-07-15 13:53:10-04:00,IKEA,40.452779,-80.16833000000003,512.0,"Taco Bell Costco Drive, Pittsburgh, PA, USA",40.457906,-80.16790340000001,2019-07-15 13:53:11-04:00,4714161,739.0,2019-07-15,7,Monday,13,53,833,49991,14,14,51242,2019-07-15 13:53:10-04:00,40.45761097,-80.16808583,2019-07-15 14:05:30-04:00,40.45293831,-80.16814459,2019-07-15 14:14:02-04:00,,,0,14.0,5.0,50730.0,actadriver3,2064,1,40.4579,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,49990,"21, 3",13:45:00
4555,4555,2019-07-15 06:53:36-04:00,2019-07-15 06:04:38-04:00,IKEA,40.452779,-80.16833000000003,1444.0,"121 Costco Dr, Pittsburgh, PA 15205, USA",40.45790603,-80.16790353,2019-07-15 06:04:38-04:00,4712785,1494.0,2019-07-15,7,Monday,6,4,364,21878,6,53,24816,2019-07-15 06:04:38-04:00,40.45764655,-80.16779238,2019-07-15 06:29:32-04:00,40.44777129,-80.18252886,2019-07-15 06:53:36-04:00,,,0,6.0,29.0,23372.0,actadriver3,2064,1,40.4579,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,21878,"21, 3",06:00:00
4557,4557,2019-07-15 10:37:51-04:00,2019-07-15 10:04:33-04:00,IKEA,40.452779,-80.16833000000003,682.0,"121 Costco Dr, Pittsburgh, PA 15205, USA",40.45790603,-80.16790353,2019-07-15 10:04:33-04:00,4713487,1316.0,2019-07-15,7,Monday,10,4,604,36273,10,37,38271,2019-07-15 10:04:33-04:00,40.45300683,-80.16811274,2019-07-15 10:26:29-04:00,40.44991116,-80.18354404,2019-07-15 10:37:51-04:00,,,0,10.0,26.0,37589.0,actadriver3,2064,1,40.4579,-80.1679,40.4528,-80.1683,"40.4579, -80.1682","40.4522, -80.1676","121 Costco Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4579,-80.1682,40.4522,-80.1676,21,21,3.0,3,36273,"21, 3",10:00:00
4650,4650,2019-07-15 12:59:39-04:00,2019-07-15 12:12:05-04:00,IKEA,40.452779,-80.16833000000003,738.0,"760 Vista Park Dr, Pittsburgh, PA 15205, USA",40.43445669,-80.13662193,2019-07-15 12:12:05-04:00,4713839,2116.0,2019-07-15,7,Monday,12,12,732,43925,12,59,46779,2019-07-15 12:12:05-04:00,40.43472339,-80.13619211,2019-07-15 12:47:21-04:00,40.45296828,-80.16814861,2019-07-15 12:59:39-04:00,,,0,12.0,47.0,46041.0,actadriver1,2008,1,40.4345,-80.1366,40.4528,-80.1683,"40.4345, -80.1363","40.4522, -80.1676","760 Vista Park Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4345,-80.1363,40.4522,-80.1676,22,22,3.0,3,43925,"22, 3",12:00:00
4829,4829,2019-07-15 17:55:47-04:00,2019-07-15 17:45:04-04:00,IKEA,40.452779,-80.16833000000003,643.0,"300 Industry Dr, Coraopolis, PA  15275, United States",40.46935515,-80.21362740000002,2019-07-15 17:45:04-04:00,4715211,0.0,2019-07-15,7,Monday,17,45,1065,63904,17,55,64547,2019-07-15 17:45:04-04:00,40.46935515,-80.21362740000002,2019-07-15 17:45:04-04:00,40.45335541,-80.16804115,2019-07-15 17:55:47-04:00,,,0,17.0,45.0,63904.0,actadriver3,2064,1,40.4694,-80.2136,40.4528,-80.1683,"40.4701, -80.2126","40.4522, -80.1676","300 Industry Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4701,-80.2126,40.4522,-80.1676,27,27,3.0,3,63904,"27, 3",17:45:00
4903,4903,2019-07-15 12:59:41-04:00,2019-07-15 12:17:44-04:00,IKEA,40.452779,-80.16833000000003,191.0,The Mall at Robinson,40.4542485,-80.1572953,2019-07-15 12:17:44-04:00,4713857,2326.0,2019-07-15,7,Monday,12,17,737,44264,12,59,46781,2019-07-15 12:17:44-04:00,40.45288764,-80.15690522,2019-07-15 12:56:30-04:00,40.45296828,-80.16814861,2019-07-15 12:59:41-04:00,,,0,12.0,56.0,46590.0,actadriver1,2008,1,40.4542,-80.1573,40.4528,-80.1683,"40.4545, -80.1582","40.4522, -80.1676","100 Robinson Centre Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4545,-80.1582,40.4522,-80.1676,28,28,3.0,3,44264,"28, 3",12:15:00
5356,5356,2019-07-15 18:13:49-04:00,2019-07-15 17:31:36-04:00,IKEA,40.452779,-80.16833000000003,442.0,FedEx Ground,40.4635467,-80.1772186,2019-07-15 17:31:37-04:00,4715103,2090.0,2019-07-15,7,Monday,17,31,1051,63097,18,13,65629,2019-07-15 17:31:36-04:00,40.46302045,-80.17659058,2019-07-15 18:06:27-04:00,40.45296425,-80.15690505,2019-07-15 18:13:49-04:00,,,0,18.0,6.0,65187.0,actadriver1,2008,1,40.4635,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,63096,"32, 3",17:30:00
5387,5387,2019-07-15 18:13:49-04:00,2019-07-15 16:56:12-04:00,IKEA,40.452779,-80.16833000000003,400.0,"1000 Fed Ex Dr, Coraopolis, PA  15108, United States",40.463734,-80.177229,2019-07-15 16:56:13-04:00,4714899,4256.0,2019-07-15,7,Monday,16,56,1016,60973,18,13,65629,2019-07-15 16:56:12-04:00,40.46288772,-80.17663681,2019-07-15 18:07:09-04:00,40.45296425,-80.15690505,2019-07-15 18:13:49-04:00,,,0,18.0,7.0,65229.0,actadriver1,2008,1,40.4637,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,60972,"32, 3",16:45:00
5417,5417,2019-07-15 18:13:49-04:00,2019-07-15 12:57:53-04:00,IKEA,40.452779,-80.16833000000003,442.0,FedEx Ground,40.4635467,-80.1772186,2019-07-15 16:00:00-04:00,4713999,7587.0,2019-07-15,7,Monday,16,0,960,57600,18,13,65629,2019-07-15 12:57:53-04:00,40.46302045,-80.17659058,2019-07-15 18:06:27-04:00,40.45296425,-80.15690505,2019-07-15 18:13:49-04:00,,,0,18.0,6.0,65187.0,actadriver1,2008,1,40.4635,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,46673,"32, 3",16:00:00
5419,5419,2019-07-15 16:24:09-04:00,2019-07-15 15:19:10-04:00,"IKEA Park Manor Boulevard, Pittsburgh, PA, USA",40.452779,-80.16833000000003,467.0,"1000 Fed Ex Dr, Coraopolis, PA  15108, United States",40.463734,-80.177229,2019-07-15 16:03:57-04:00,4714443,745.0,2019-07-15,7,Monday,16,3,963,57837,16,24,59049,2019-07-15 15:19:10-04:00,40.46301449,-80.17660897,2019-07-15 16:16:22-04:00,40.45282878,-80.17025173,2019-07-15 16:24:09-04:00,,,0,16.0,16.0,58582.0,actadriver3,2064,1,40.4637,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,55150,"32, 3",16:00:00
5449,5449,2019-07-15 18:13:49-04:00,2019-07-15 17:06:16-04:00,IKEA,40.452779,-80.16833000000003,428.0,"1000 Fedex Dr, Moon, PA 15108, USA",40.463734,-80.177229,2019-07-15 17:06:17-04:00,4714959,3624.0,2019-07-15,7,Monday,17,6,1026,61577,18,13,65629,2019-07-15 17:06:16-04:00,40.46298523,-80.17662397,2019-07-15 18:06:41-04:00,40.45296425,-80.15690505,2019-07-15 18:13:49-04:00,,,0,18.0,6.0,65201.0,actadriver1,2008,1,40.4637,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,61576,"32, 3",17:00:00
5464,5464,2019-07-15 18:27:28-04:00,2019-07-15 17:02:17-04:00,"2001 Park Manor Blvd, Pittsburgh, PA 15205, USA",40.452779,-80.16833000000003,20.0,"1000 Fedex Dr, Moon, PA 15108, USA",40.463734,-80.177229,2019-07-15 17:02:18-04:00,4714943,5090.0,2019-07-15,7,Monday,17,2,1022,61338,18,27,66448,2019-07-15 17:02:17-04:00,40.46300387,-80.17660895,2019-07-15 18:27:08-04:00,40.46282246,-80.176576,2019-07-15 18:27:28-04:00,,,0,18.0,27.0,66428.0,actadriver1,2008,1,40.4637,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,61337,"32, 3",17:00:00
5476,5476,2019-07-15 16:59:45-04:00,2019-07-15 16:34:50-04:00,"IKEA Park Manor Boulevard, Pittsburgh, PA, USA",40.452779,-80.16833000000003,321.0,"1000 Fed Ex Dr, Coraopolis, PA  15108, United States",40.463734,-80.177229,2019-07-15 16:34:50-04:00,4714789,1174.0,2019-07-15,7,Monday,16,34,994,59690,16,59,61185,2019-07-15 16:34:50-04:00,40.46298671,-80.17665306,2019-07-15 16:54:24-04:00,40.45866961,-80.17573457,2019-07-15 16:59:45-04:00,,,0,16.0,54.0,60864.0,actadriver1,2008,1,40.4637,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,59690,"32, 3",16:30:00
5492,5492,2019-07-15 16:24:06-04:00,2019-07-15 12:50:11-04:00,"2001 Park Manor Blvd, Pittsburgh, PA 15205, USA",40.452779,-80.16833000000003,447.0,"1000 Fed Ex Dr, Coraopolis, PA  15108, United States",40.463734,-80.177229,2019-07-15 16:05:53-04:00,4713971,646.0,2019-07-15,7,Monday,16,5,965,57953,16,24,59046,2019-07-15 12:50:11-04:00,40.46282157,-80.17657455,2019-07-15 16:16:39-04:00,40.45274663,-80.17006679,2019-07-15 16:24:06-04:00,,,0,16.0,16.0,58599.0,actadriver3,2064,1,40.4637,-80.1772,40.4528,-80.1683,"40.4631, -80.1782","40.4522, -80.1676","1000 Fedex Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4631,-80.1782,40.4522,-80.1676,32,32,3.0,3,46211,"32, 3",16:00:00
5724,5724,2019-07-15 19:25:09-04:00,2019-07-15 15:30:03-04:00,IKEA,40.452779,-80.16833000000003,837.0,"Cigna 3000 Park Lane Drive, Pittsburgh, PA, USA",40.4553395,-80.18724499999998,2019-07-15 19:05:00-04:00,4714501,372.0,2019-07-15,7,Monday,19,5,1145,68700,19,25,69909,2019-07-15 15:30:03-04:00,40.46572873,-80.19821293,2019-07-15 19:11:12-04:00,40.45333885,-80.16809258,2019-07-15 19:25:09-04:00,,,0,19.0,11.0,69072.0,actadriver3,2064,1,40.4553,-80.1872,40.4528,-80.1683,"40.4548, -80.1866","40.4522, -80.1676","3000 Park Ln Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4548,-80.1866,40.4522,-80.1676,36,36,3.0,3,55803,"36, 3",19:00:00
6069,6069,2019-07-15 15:29:02-04:00,2019-07-15 14:11:35-04:00,IKEA,40.452779,-80.16833000000003,668.0,Protek Cargo,40.43114111,-80.13122197,2019-07-15 15:15:03-04:00,4714209,171.0,2019-07-15,7,Monday,15,15,915,54903,15,29,55742,2019-07-15 14:11:35-04:00,40.43534038,-80.13074789,2019-07-15 15:17:54-04:00,40.45297079,-80.16810335,2019-07-15 15:29:02-04:00,,,0,15.0,17.0,55074.0,actadriver1,2008,1,40.4311,-80.1312,40.4528,-80.1683,"40.4335, -80.131","40.4522, -80.1676","612 Parkway View Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4335,-80.131,40.4522,-80.1676,38,38,3.0,3,51095,"38, 3",15:15:00
6090,6090,2019-07-15 16:07:47-04:00,2019-07-15 16:02:34-04:00,IKEA,40.452779,-80.16833000000003,313.0,"1001 Cliff Mine Rd, Coraopolis, PA  15108, United States",40.45825273,-80.19095965,2019-07-15 16:02:34-04:00,4714657,0.0,2019-07-15,7,Monday,16,2,962,57754,16,7,58067,2019-07-15 16:02:34-04:00,40.45825273,-80.19095965,2019-07-15 16:02:34-04:00,40.45328934,-80.16822036,2019-07-15 16:07:47-04:00,,,0,16.0,2.0,57754.0,actadriver3,2064,1,40.4583,-80.191,40.4528,-80.1683,"40.4585, -80.1913","40.4522, -80.1676","781 Aten Rd, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4585,-80.1913,40.4522,-80.1676,39,39,3.0,3,57754,"39, 3",16:00:00
6291,6291,2019-07-15 18:40:38-04:00,2019-07-15 16:04:37-04:00,IKEA,40.452779,-80.16833000000003,673.0,Homewood Suites Pittsburgh Airport,40.4587849,-80.1759107,2019-07-15 16:04:37-04:00,4714665,8688.0,2019-07-15,7,Monday,16,4,964,57877,18,40,67238,2019-07-15 16:04:37-04:00,40.45869301,-80.1755771,2019-07-15 18:29:25-04:00,40.45299309,-80.16811886,2019-07-15 18:40:38-04:00,,,0,18.0,29.0,66565.0,actadriver1,2008,1,40.4588,-80.1759,40.4528,-80.1683,"40.4585, -80.1761","40.4522, -80.1676","2000 GSK Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4585,-80.1761,40.4522,-80.1676,45,45,3.0,3,57877,"45, 3",16:00:00
6305,6305,2019-07-15 17:16:20-04:00,2019-07-11 16:26:28-04:00,"2001 Park Manor Blvd, Pittsburgh, PA 15205, USA",40.452779,-80.16833000000003,658.0,"2000 GSK Dr, Coraopolis, PA  15108, United States",40.45871624,-80.17590623,2019-07-15 17:00:48-04:00,4699175,274.0,2019-07-15,7,Monday,17,0,1020,61248,17,16,62180,2019-07-11 16:26:28-04:00,40.45872887,-80.17574312,2019-07-15 17:05:22-04:00,40.45296509,-80.1680995,2019-07-15 17:16:20-04:00,,,0,17.0,5.0,61522.0,actadriver1,2008,1,40.4587,-80.1759,40.4528,-80.1683,"40.4585, -80.1761","40.4522, -80.1676","2000 GSK Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4585,-80.1761,40.4522,-80.1676,45,45,3.0,3,59188,"45, 3",17:00:00
6323,6323,2019-07-15 17:16:20-04:00,2019-07-15 16:59:45-04:00,IKEA,40.452779,-80.16833000000003,995.0,no address provided,40.45865976,-80.17574178,2019-07-15 16:59:45-04:00,4714919,0.0,2019-07-15,7,Monday,16,59,1019,61185,17,16,62180,2019-07-15 16:59:45-04:00,40.45865976,-80.17574178,2019-07-15 16:59:45-04:00,40.45296509,-80.1680995,2019-07-15 17:16:20-04:00,,,0,16.0,59.0,61185.0,actadriver1,2008,1,40.4587,-80.1757,40.4528,-80.1683,"40.4585, -80.1761","40.4522, -80.1676","2000 GSK Dr, Moon, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4585,-80.1761,40.4522,-80.1676,45,45,3.0,3,61185,"45, 3",16:45:00
6383,6383,2019-07-15 15:45:17-04:00,2019-07-15 15:24:16-04:00,IKEA,40.452779,-80.16833000000003,401.0,Cinemark Robinson Township,40.43908117,-80.14634494,2019-07-15 15:24:16-04:00,4714469,860.0,2019-07-15,7,Monday,15,24,924,55456,15,45,56717,2019-07-15 15:24:16-04:00,40.43888639,-80.14695254,2019-07-15 15:38:36-04:00,40.45297016,-80.16809849,2019-07-15 15:45:17-04:00,,,0,15.0,38.0,56316.0,actadriver1,2008,1,40.4391,-80.1463,40.4528,-80.1683,"40.439, -80.1467","40.4522, -80.1676","2100 Settlers Ridge Center Dr, McKees Rocks, PA 15136, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.439,-80.1467,40.4522,-80.1676,47,47,3.0,3,55456,"47, 3",15:15:00
6421,6421,2019-07-15 19:29:45-04:00,2019-07-15 19:15:44-04:00,IKEA,40.452779,-80.16833000000003,399.0,"181 Montour Run Rd, Coraopolis, PA 15108, USA",40.46492643,-80.16156614,2019-07-15 19:15:44-04:00,4715947,442.0,2019-07-15,7,Monday,19,15,1155,69344,19,29,70185,2019-07-15 19:15:44-04:00,40.46502644,-80.16134687,2019-07-15 19:23:06-04:00,40.45299326,-80.16810201,2019-07-15 19:29:45-04:00,,,0,19.0,23.0,69786.0,actadriver1,2008,1,40.4649,-80.1616,40.4528,-80.1683,"40.4651, -80.1614","40.4522, -80.1676","181 Montour Run Rd, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4651,-80.1614,40.4522,-80.1676,48,48,3.0,3,69344,"48, 3",19:15:00
6830,6830,2019-07-15 15:38:20-04:00,2019-07-15 12:54:08-04:00,IKEA,40.452779,-80.16833000000003,435.0,Valassis,40.45158293,-80.19416302,2019-07-15 15:30:46-04:00,4713983,19.0,2019-07-15,7,Monday,15,30,930,55846,15,38,56300,2019-07-15 12:54:08-04:00,40.45183978,-80.19500649999998,2019-07-15 15:31:05-04:00,40.45329608,-80.1682059,2019-07-15 15:38:20-04:00,,,0,15.0,31.0,55865.0,actadriver3,2064,1,40.4516,-80.1942,40.4528,-80.1683,"40.4522, -80.1946","40.4522, -80.1676","20 Summit Park Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4522,-80.1946,40.4522,-80.1676,56,56,3.0,3,46448,"56, 3",15:30:00
6935,6935,2019-07-15 20:24:07-04:00,2019-07-15 20:06:57-04:00,IKEA,40.452779,-80.16833000000003,301.0,Target,40.44606118,-80.18314082,2019-07-15 20:06:58-04:00,4716295,728.0,2019-07-15,7,Monday,20,6,1206,72418,20,24,73447,2019-07-15 20:06:57-04:00,40.44595644,-80.18316421,2019-07-15 20:19:06-04:00,40.45298563,-80.16810075,2019-07-15 20:24:07-04:00,,,0,20.0,19.0,73146.0,actadriver1,2008,1,40.4461,-80.1831,40.4528,-80.1683,"40.4463, -80.1835","40.4522, -80.1676","600 Chauvet Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4463,-80.1835,40.4522,-80.1676,57,57,3.0,3,72417,"57, 3",20:00:00
7010,7010,2019-07-15 18:17:55-04:00,2019-07-15 18:13:49-04:00,IKEA,40.452779,-80.16833000000003,246.0,no address provided,40.45296425,-80.15690505,2019-07-15 18:13:49-04:00,4715433,0.0,2019-07-15,7,Monday,18,13,1093,65629,18,17,65875,2019-07-15 18:13:49-04:00,40.45296425,-80.15690505,2019-07-15 18:13:49-04:00,40.45301692,-80.16816239,2019-07-15 18:17:55-04:00,,,0,18.0,13.0,65629.0,actadriver1,2008,1,40.453,-80.1569,40.4528,-80.1683,"40.4529, -80.1578","40.4522, -80.1676","1470 Robinson Centre Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4529,-80.1578,40.4522,-80.1676,60,60,3.0,3,65629,"60, 3",18:00:00
7189,7189,2019-07-15 07:42:02-04:00,2019-07-15 07:22:35-04:00,IKEA,40.452779,-80.16833000000003,199.0,"5000 Robinson Centre Drive, Pittsburgh, PA 15205, USA",40.45322569,-80.15635192,2019-07-15 07:22:34-04:00,4712999,969.0,2019-07-15,7,Monday,7,22,442,26554,7,42,27722,2019-07-15 07:22:35-04:00,40.45226914,-80.15570518,2019-07-15 07:38:43-04:00,40.4529969,-80.16807703,2019-07-15 07:42:02-04:00,,,0,7.0,38.0,27523.0,actadriver1,2008,1,40.4532,-80.1564,40.4528,-80.1683,"40.4532, -80.1564","40.4522, -80.1676","5000 Robinson Centre Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4532,-80.1564,40.4522,-80.1676,70,70,3.0,3,26555,"70, 3",07:15:00
7232,7232,2019-07-15 07:35:49-04:00,2019-07-15 07:26:31-04:00,IKEA,40.452779,-80.16833000000003,11.0,"McDonald's Davis Boulevard, Pittsburgh, PA, USA",40.4492228,-80.1730923,2019-07-15 07:26:31-04:00,4713019,547.0,2019-07-15,7,Monday,7,26,446,26791,7,35,27349,2019-07-15 07:26:31-04:00,40.45300487,-80.17070375,2019-07-15 07:35:38-04:00,40.45268702,-80.16909803,2019-07-15 07:35:49-04:00,,,0,7.0,35.0,27338.0,actadriver1,2008,1,40.4492,-80.1731,40.4528,-80.1683,"40.4492, -80.1731","40.4522, -80.1676","100 Davis Blvd, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4492,-80.1731,40.4522,-80.1676,71,71,3.0,3,26791,"71, 3",07:15:00
7336,7336,2019-07-15 12:41:08-04:00,2019-07-15 12:02:08-04:00,IKEA,40.452779,-80.16833000000003,1517.0,Market District,40.4417398,-80.1512245,2019-07-15 12:02:08-04:00,4713807,823.0,2019-07-15,7,Monday,12,2,722,43328,12,41,45668,2019-07-15 12:02:08-04:00,40.45299191,-80.16807854,2019-07-15 12:15:51-04:00,40.44073854,-80.14945043,2019-07-15 12:41:08-04:00,,,0,12.0,15.0,44151.0,actadriver1,2008,1,40.4417,-80.1512,40.4528,-80.1683,"40.4414, -80.1516","40.4522, -80.1676","100 Settlers Ridge Center Dr, McKees Rocks, PA 15136, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4414,-80.1516,40.4522,-80.1676,82,82,3.0,3,43328,"82, 3",12:00:00
